timestamp,machine,git,run,name,operations,clients,payload_bytes,elapsed_ms,ops_per_second,kib_per_second,p50_ms,p95_ms,p99_ms,gc0,gc1,gc2,memory_before,memory_after,failures
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",1,"serialize+deserialize",50000,0,0,11.645,4293540.797,125787.328,0,0,0,1,0,0,6087432,10085520,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",1,"primitive array serialize+deserialize",20000,0,0,9.634,2076067.098,3152621.424,0,0,0,5,0,0,6090016,23417952,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",1,"tcp send pump",2000,0,0,38.824,51514.527,754.607,0,0,0,0,0,0,6088624,9322216,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",1,"real server TCP roundtrip",320,16,96,20.73,15436.789,3497.397,18.684,19.965,20.081,0,0,0,7356680,9234528,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",2,"serialize+deserialize",50000,0,0,7.821,6393453.104,187308.196,0,0,0,1,0,0,7206160,11203432,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",2,"primitive array serialize+deserialize",20000,0,0,9.358,2137185.967,3245433.769,0,0,0,5,0,0,7207912,24743824,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",2,"tcp send pump",2000,0,0,33.785,59197.869,867.156,0,0,0,0,0,0,7206464,10226528,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",2,"real server TCP roundtrip",320,16,96,5.703,56113.771,12713.276,2.687,4.432,4.567,0,0,0,7579664,9470320,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",3,"serialize+deserialize",50000,0,0,7.244,6902454.513,202220.347,0,0,0,1,0,0,7413728,11413952,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",3,"primitive array serialize+deserialize",20000,0,0,9.686,2064814.528,3135533.78,0,0,0,5,0,0,7415512,25110248,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",3,"tcp send pump",2000,0,0,31.482,63527.558,930.579,0,0,0,0,0,0,7414064,11100912,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",3,"real server TCP roundtrip",320,16,96,23.877,13402.243,3036.446,4.695,17.388,21.836,0,0,0,7821128,9790472,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",4,"serialize+deserialize",50000,0,0,6.842,7307911.545,214098.971,0,0,0,1,0,0,7654840,11659560,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",4,"primitive array serialize+deserialize",20000,0,0,8.457,2364932.777,3591279.754,0,0,0,5,0,0,7656560,25543352,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",4,"tcp send pump",2000,0,0,29.882,66930.82,980.432,0,0,0,0,0,0,7655112,11406320,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",4,"real server TCP roundtrip",320,16,96,8.871,36074.629,8173.158,2.949,8.326,8.58,0,0,0,8032560,10034704,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",5,"serialize+deserialize",50000,0,0,7.038,7104391.935,208136.482,0,0,0,1,0,0,7867200,11873816,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",5,"primitive array serialize+deserialize",20000,0,0,9.212,2171010.497,3296798.167,0,0,0,5,0,0,7869048,25890200,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",5,"tcp send pump",2000,0,0,30.141,66355.68,972.007,0,0,0,0,0,0,7867600,11641584,0
"2026-07-23T16:46:34.9974865+02:00","DESKTOP-4FCCBNC","76d1537",5,"real server TCP roundtrip",320,16,96,6.406,49952.389,11317.338,4.082,5.944,6.129,0,0,0,8288528,10389848,0
