timestamp,machine,git,name,operations,clients,payload_bytes,elapsed_ms,ops_per_second,kib_per_second,p50_ms,p95_ms,p99_ms,gc0,gc1,gc2,memory_before,memory_after,failures
"2026-05-02T18:35:46.0307362+02:00","DESKTOP-FJUJ9O6","c460ff1","serialize+deserialize",50000,0,0,25.296,1976589.277,55977.626,0,0,0,10,0,0,64600,4976136,0
"2026-05-02T18:35:46.0307362+02:00","DESKTOP-FJUJ9O6","c460ff1","tcp send pump",2000,0,0,48.991,40823.741,558.137,0,0,0,1,0,0,4976136,4398520,0
"2026-05-02T18:35:46.0307362+02:00","DESKTOP-FJUJ9O6","c460ff1","real server TCP roundtrip",320,16,96,17.528,18256.296,4118.364,13.199,16.193,16.319,1,1,0,4398520,1727616,0
