timestamp,machine,git,name,operations,clients,payload_bytes,elapsed_ms,ops_per_second,kib_per_second,p50_ms,p95_ms,p99_ms,gc0,gc1,gc2,memory_before,memory_after,failures
"2026-05-02T18:40:50.9752106+02:00","DESKTOP-FJUJ9O6","c460ff1","serialize+deserialize",50000,0,0,11.543,4331742.14,122676.291,0,0,0,10,0,0,64600,4977328,0
"2026-05-02T18:40:50.9752106+02:00","DESKTOP-FJUJ9O6","c460ff1","primitive array serialize+deserialize",20000,0,0,5.766,3468368.479,5263520.134,0,0,0,21,0,0,4977328,2540576,0
"2026-05-02T18:40:50.9752106+02:00","DESKTOP-FJUJ9O6","c460ff1","tcp send pump",2000,0,0,30.465,65649.106,897.546,0,0,0,1,0,0,2548768,2424360,0
"2026-05-02T18:40:50.9752106+02:00","DESKTOP-FJUJ9O6","c460ff1","real server TCP roundtrip",4096,64,192,77.244,53026.91,21904.671,50.304,67.441,71.57,4,1,0,2424360,7072032,0
